user,text,latitude,longitude
bibiiieb,Latihan melukis ? (with Amalia and Patrecia at Jogja Painting) ? https://t.co/RczDozKEzv,-7.77465,110.38916
MarlindaPutriK,Terimakasih pertama saya ucapkan kepada Allah SWT yang telah? https://t.co/PnTo67N8ga,-7.7987592,110.3836048
anief_widya,Day #12 B.L (at Sartika sanggar senam) ? https://t.co/wcyv64ww23,-7.78278,110.36489
cholis_011,"Evening Merapi
#merapi #sunset #sunrise #morning #evening #day #summer #blue #pink #silhouette? https://t.co/uxZAoSse9w",-7.78357647,110.39130289
adiralatifa,??????? (at @mpokduren) ? https://t.co/KX6FGW6sxg,-7.80251,110.35644
adhendit,At @chachamilktea ? https://t.co/XCxw9fC0k1,-7.77223,110.40868
rkhairunnisaa11,Musoliii??? (at Pondok Bakaran) ? https://t.co/mSNiBqrcVF,-7.82973,110.3901
Adewipuspita,Nemenin yg pgn banget? (at @ullensentalu) ? https://t.co/zhVm587qo2,-7.8017,110.364
rama0491,Alone hilangin stres @ Masterpiece Family Karaoke https://t.co/qDyZe27K9Z,-7.77416315,110.41305293
anggiolla,??? (at Nataputra MuayThai Camp) ? https://t.co/GHeDW7fAqb,-7.80034,110.34914
andrearenata_s,ora tibo ora gayeng??? @ Little Owl Cafe https://t.co/D7JhUlGQcE,-7.78929,110.36628
benz_montague,Alhamdulillah ? (at Perigon Fitness Studio) [pic] ? https://t.co/DpUb4WnsU0,-7.78045,110.39265
gardenajogjaid,"??
Yg Penasaran lg pd ngobrolin apa Yuuk sekarang juga nyalain TV Kamu &amp; Saksikan langsung Acara? https://t.co/a7CWI3ANxU",-7.78311176,110.38169324
hnyptn,Watching Kong: Skull Island (at @cgvblitz) ? https://t.co/7h3b6AKk0h,-7.76944,110.42635
yandabattista,"Soreku bersama kopi &amp; kalian ? (with Eddy, bernardus, and Marsil at The Point Coffee Shop) [pic] ? https://t.co/FnTBlRuCW1",-7.77837,110.39273
rifqirifai,Berlomba Lomba @ PP Muhammadiyah Ahmad Dahlan https://t.co/MdWyZtCdM6,-7.80118929,110.3581668
putri_putih,Ganti kartu dulu yaa.. #udahwaktunya #upgrade (at @telkomsel) ? https://t.co/9RiCkIMufK,-7.78322,110.37561
miraalah,"Tired af ? (@ Fakultas Psikologi - @ugmyogyakarta in Sleman, DI Yogyakarta) https://t.co/7J4ElNe3k1 https://t.co/tj2ziUKyL9",-7.77205641,110.38015366
rahmauye,YASSS (with Lala at @plazaambarrukmo) ? https://t.co/RyQvPSpL2h,-7.78324,110.39737
rahmauye,YASSS (with Lala at @plazaambarrukmo) ? https://t.co/RyQvPSpL2h,-7.78324,110.39737
miraalah,The architecture just ... perfect! @ Balairung Gedung Pusat UGM https://t.co/OJMqfflPxM,-7.76750219,110.37887319
yudiantoaan,Are you downing? https://t.co/3Bi3qhrYaf,-7.79143371,110.37431105
nurulauliadewi_,I'm feel home sick ???? (at GMC (Gama Medical Center)) ? https://t.co/HXJf5ZbDSf,-7.7727,110.37509
Sonshaf,Ngeterke anak wedok latihan?????? (with Zaenal Arifin S at @mandala_krida) ? https://t.co/dkshYZ5KUT,-7.79426,110.3837
rdidassler,golek (at Pasar Beringharjo) ? https://t.co/ParcYexVsH,-7.7991,110.36519
hptomo,... cemilan sore yg sangat biasa - teh panas legi tur kentel dengan gorengan homemade tahu? https://t.co/EppCclsz5r,-7.78783744,110.32349429
DesitaIndri,Manut yg lg BM? (with bella at PREKSU (Ayam Geprek dan Susu)) ? https://t.co/t6NFfdMStZ,-7.75667,110.38098
rama0491,Alone #galausay (at @masterpiece_jog) ? https://t.co/PCA8h8LLK7,-7.77412,110.41313
SilviAnggii,Andalane utiii ? (at Mie Ayam Bangka Pak Harun) ? https://t.co/IqlQ7YLp9X,-7.79251,110.3559
